pic,correct_response,shown_before,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,image.started,fixation.stopped,image.stopped,trial.stopped,break_4.started,key_instruct.started,break_4.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,break_2.started,text_countdown.started,break_2.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,test.started,img.started,key_resp_2.started,test.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
None,None,None,0,0,0,14,,,,,0.1317732079187408,,0.1044619579333812,0.1317732079187408,0.4982881660107523,0.631038915948011,2.021917499951087,1.9826600829837844,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Col2.JPG,c,1,0,1,1,7,,,,,2.021917499951087,,1.983820416033268,2.021917499951087,2.50315949996002,2.5213227909989655,3.9980568329337984,3.987909583025612,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
None,None,None,0,2,2,18,,,,,3.9980568329337984,,3.9885814579902217,3.9980568329337984,4.498698457959108,4.486330499988981,6.021099332952872,5.982626416021958,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Col1.JPG,c,1,0,3,3,6,,,,,6.021099332952872,,5.983390374924056,6.021099332952872,6.497406999929808,6.514717207988724,7.9872009579557925,7.981281665968709,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
None,None,None,0,4,4,21,,,,,7.9872009579557925,,7.981740957940929,7.9982978330226615,8.498610290931538,8.486407165997662,9.989904250018299,9.982758165919222,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
None,None,None,0,5,5,22,,,,,9.989904250018299,,9.983413874986582,9.99744412500877,10.498637082986534,10.486984999966808,12.029019374982454,11.983398832962848,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Col4.JPG,c,1,0,6,6,9,,,,,12.029019374982454,,11.985554540995508,12.029019374982454,12.498054457944818,12.521555582992733,14.007890207925811,13.982410540920682,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Col3.JPG,c,1,0,7,7,8,,,,,14.007890207925811,,13.982957915985025,14.007890207925811,14.497371915960684,14.50440500001423,15.997908915975131,15.983282582950778,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Bnw3 .JPG,b,1,0,8,8,2,,,,,15.997908915975131,,15.984046540921554,16.003007082967088,16.498628499917686,16.498628499917686,17.989163290942088,17.98173062503338,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
None,None,None,0,9,9,17,,,,,17.989163290942088,,17.983065958018415,17.998339124955237,18.49887858296279,18.487422041012906,20.025598624954,19.983040582970716,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Col5.JPG,c,1,0,10,10,10,,,,,20.025598624954,,19.983684791019186,20.025598624954,20.498261041007936,20.521422790945508,21.98947541601956,21.98288979101926,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
None,None,None,0,11,11,19,,,,,21.98947541601956,,21.983471291023307,21.99787366599776,22.498896291013807,22.487070665927604,23.989512374973856,23.98301545798313,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
None,None,None,0,12,12,16,,,,,23.989512374973856,,23.983667540946044,23.9983828329714,24.499368499964476,24.48678195802495,26.007890249951743,25.98330629093107,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Bnw2.JPG,b,1,0,13,13,1,,,,,26.007890249951743,,25.983954875031486,26.007890249951743,26.497974290978163,26.504887250019237,27.990116790984757,27.982041290961206,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
None,None,None,0,14,14,15,,,,,27.990116790984757,,27.983398749958724,27.99794937495608,28.499028207967058,28.48733974993229,30.00372795795556,29.98351512500085,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Col6.JPG,c,1,0,15,15,11,,,,,30.00372795795556,,29.984215750009753,30.015554415993392,30.498539833002724,30.506065624998882,32.025584082934074,31.98264562501572,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Bnw4.JPG,b,1,0,16,16,3,,,,,32.025584082934074,,31.98334124998655,32.025584082934074,32.498099707998335,32.525338665931486,34.002203374984674,33.98292054096237,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Bnw1.jpeg,b,1,0,17,17,0,,,,,34.002203374984674,,33.98344433296006,34.01567887503188,34.49821258301381,34.50564149999991,36.001710249925964,35.98265958297998,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Bnw5.JPG,b,1,0,18,18,4,,,,,36.001710249925964,,35.983410457964055,36.0156105409842,36.49813045794144,36.50520799995866,37.98884587502107,37.98271112493239,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
None,None,None,0,19,19,13,,,,,37.98884587502107,,37.98328124999534,37.99832008301746,38.50141729100142,38.48755404097028,40.00160045793746,39.990053790970705,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
None,None,None,0,20,20,20,,,,,40.00160045793746,,39.991108707967214,40.00160045793746,40.4992300409358,40.4992300409358,41.99282308295369,41.98346037499141,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
None,None,None,0,21,21,12,,,,,41.99282308295369,,41.9842011249857,41.99282308295369,42.49931287497748,42.48680766602047,44.02580537495669,43.98397883295547,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Bnw6.JPG,b,1,0,22,22,5,,,,,44.02580537495669,,43.98471762496047,44.02580537495669,44.498252624995075,44.52155645797029,45.988726790994406,45.98288983292878,,,,,,,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
,,,,,,,,,,,,,,,,,,,45.983159041032195,46.05811958294362,141.2713581250282,space,94.91094554204028,0.29666291596367955,,,,,,,,,,,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,141.27158704097383,141.3483786249999,151.2749722499866,151.27504087495618,151.28938654100057,151.28938654100057,152.16908612498082,space,0.875403541023843,None,,,,,,,,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Col8.JPG,c,0,,,,,0,0,0,18,152.25432349997573,,,,,,,,,,,,,,,,,,,,,,,,152.22647658293135,152.25432349997573,152.25432349997573,153.95966708299238,y,1.6985549579840153,None,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Col6.JPG,c,1,,,,,0,1,1,17,153.97817362495698,,,,,,,,,,,,,,,,,,,,,,,,153.96218295802828,153.97817362495698,153.97817362495698,154.63683304097503,y,0.6570009159622714,None,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Col2.JPG,c,1,,,,,0,2,2,13,154.66168458294123,,,,,,,,,,,,,,,,,,,,,,,,154.63767008297145,154.66168458294123,154.66168458294123,155.20250741601922,y,0.5324989170767367,None,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Col10.JPG,c,0,,,,,0,3,3,20,155.2312119579874,,,,,,,,,,,,,,,,,,,,,,,,155.20337083295453,155.2312119579874,155.2312119579874,155.63660191593226,n,0.40395808301400393,None,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Bnw4.JPG,b,1,,,,,0,4,4,3,155.67502929095645,,,,,,,,,,,,,,,,,,,,,,,,155.63732166599948,155.67502929095645,155.67502929095645,155.94385604094714,y,0.26167274999897927,None,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Bnw2.JPG,b,1,,,,,0,5,5,1,155.9657985829981,,,,,,,,,,,,,,,,,,,,,,,,155.94474829093087,155.9657985829981,155.9657985829981,156.15943400003016,n,0.18697254091966897,None,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
Bnw9.JPG,b,0,,,,,0,6,6,8,156.1848932079738,,,,,,,,,,,,,,,,,,,,,,,,156.16012074996252,156.1848932079738,156.1848932079738,156.31987712497357,y,0.12553391605615616,None,569072,001,2023-11-27_15h55.54.803,experiment,2023.2.2,None,2023-11-27 15h56.04.546447 +0530,
