8.6122 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
10.1794 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

10.1817 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f857af2abb0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f857af2ab50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f857af2a9a0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f859930f160>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.1934 	EXP 	window1: mouseVisible = True
10.1940 	EXP 	window1: backgroundImage = ''
10.1940 	EXP 	window1: backgroundFit = 'none'
10.1982 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.1983 	EXP 	window1: recordFrameIntervals = False
10.2796 	EXP 	window1: recordFrameIntervals = True
11.1337 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

11.1351 	EXP 	window1: mouseVisible = False
15.3930 	EXP 	experiment: status = STARTED
15.4406 	EXP 	window1: mouseVisible = True
15.4487 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.2, 0.2]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
15.4621 	EXP 	window1: mouseVisible = True
15.5212 	EXP 	Created image = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.2, 0.9]), texRes=128.0, units='height', win=Window(...))
15.5248 	EXP 	window1: mouseVisible = True
15.6228 	EXP 	Created text_norm = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_norm', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1.8)
15.6262 	EXP 	window1: mouseVisible = True
15.6420 	EXP 	Created text_countdown = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text_countdown', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
15.6454 	EXP 	window1: mouseVisible = True
15.6519 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='instructions for test phase', units='height', win=Window(...), wrapWidth=1)
15.6550 	EXP 	window1: mouseVisible = True
15.6649 	EXP 	Created img = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='img', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.2, 0.9]), texRes=128.0, units='height', win=Window(...))
0.1019 	EXP 	Imported t.xlsx as conditions, 23 conditions, 3 params
0.1043 	EXP 	Created sequence: random, trialTypes=23, nReps=1, seed=None
0.1044 	EXP 	New trial (rep=0, index=0): {'pic': None, 'correct_response': None, 'shown_before': None}
0.1318 	WARNING 	t of last frame was 51.57ms (=1/19)
0.1318 	EXP 	image: image = None
0.1318 	EXP 	fixation: autoDraw = True
0.4983 	EXP 	image: autoDraw = True
0.6310 	EXP 	fixation: autoDraw = False
1.1508 	WARNING 	t of last frame was 35.81ms (=1/27)
1.9838 	EXP 	New trial (rep=0, index=1): {'pic': 'Col2.JPG', 'correct_response': 'c', 'shown_before': 1}
2.0219 	WARNING 	t of last frame was 40.19ms (=1/24)
2.0219 	EXP 	image: autoDraw = False
2.0219 	EXP 	fixation: autoDraw = False
2.0219 	EXP 	image: autoDraw = False
2.0219 	EXP 	image: image = 'Col2.JPG'
2.0219 	EXP 	fixation: autoDraw = True
2.2724 	WARNING 	t of last frame was 34.47ms (=1/29)
2.3000 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
2.5032 	EXP 	image: autoDraw = True
2.5213 	EXP 	fixation: autoDraw = False
3.9885 	EXP 	New trial (rep=0, index=2): {'pic': None, 'correct_response': None, 'shown_before': None}
3.9981 	EXP 	image: autoDraw = False
3.9981 	EXP 	fixation: autoDraw = False
3.9981 	EXP 	image: autoDraw = False
3.9981 	EXP 	image: image = None
3.9981 	EXP 	fixation: autoDraw = True
4.4863 	EXP 	fixation: autoDraw = False
4.4987 	EXP 	image: autoDraw = True
5.9833 	EXP 	New trial (rep=0, index=3): {'pic': 'Col1.JPG', 'correct_response': 'c', 'shown_before': 1}
6.0211 	EXP 	image: autoDraw = False
6.0211 	EXP 	fixation: autoDraw = False
6.0211 	EXP 	image: autoDraw = False
6.0211 	EXP 	image: image = 'Col1.JPG'
6.0211 	EXP 	fixation: autoDraw = True
6.4974 	EXP 	image: autoDraw = True
6.5147 	EXP 	fixation: autoDraw = False
